2.135e+00 3.178e+00 4.770e+02 6.447e-01
1.467e+00 3.450e+00 6.660e+02 1.529e+00
1.429e+00 3.145e+00 7.890e+02 5.831e-01
2.826e+00 4.969e+00 1.920e+03 6.036e-01
2.227e+00 4.769e+00 1.962e+03 4.702e-01
4.509e+00 4.208e+00 2.693e+03 4.156e-01
3.263e+00 7.243e-01 2.779e+03 3.973e+00
3.658e+00 4.989e+00 4.199e+03 1.534e+00
1.945e+00 3.132e+00 4.573e+03 7.054e-01
1.427e+00 2.320e+00 5.353e+03 9.991e-01
1.797e+00 4.991e+00 5.368e+03 4.530e-01
1.597e+00 9.291e-01 5.865e+03 2.084e+00
2.382e+00 3.985e+00 6.220e+03 1.736e+00
9.158e-01 2.243e+00 6.308e+03 3.658e+00
2.012e+00 1.622e+00 6.508e+03 2.736e+00
1.852e+00 3.881e+00 6.535e+03 8.992e-01
6.152e-01 1.464e+00 6.652e+03 9.361e-01
3.911e+00 1.365e+00 6.795e+03 1.909e+00
2.343e+00 3.312e+00 7.195e+03 4.649e-01
2.034e+00 5.405e-01 7.315e+03 3.645e+00
2.633e+00 2.645e+00 7.670e+03 3.803e+00
4.895e+00 2.269e+00 7.726e+03 3.870e+00
7.180e-01 3.731e+00 7.772e+03 4.756e-01
4.251e+00 4.347e+00 7.881e+03 6.677e-01
2.938e+00 1.411e+00 8.158e+03 2.080e+00
3.701e+00 1.011e+00 8.376e+03 2.043e+00
1.663e+00 5.250e+00 8.443e+03 3.477e-01
2.031e+00 1.137e+00 8.558e+03 5.607e-01
2.732e+00 5.020e+00 8.765e+03 1.502e+00
1.406e+00 1.183e+00 9.657e+03 2.625e+00
1.083e+00 1.745e+00 9.907e+03 9.931e-01
4.093e+00 3.166e+00 1.038e+04 6.062e-01
2.299e+00 1.641e+00 1.060e+04 2.672e+00
1.995e+00 5.239e-01 1.075e+04 3.930e+00
4.806e+00 3.599e+00 1.102e+04 4.911e-01
3.874e+00 1.392e+00 1.140e+04 1.317e+00
4.686e+00 6.831e-01 1.161e+04 2.680e+00
2.907e+00 4.184e+00 1.173e+04 1.046e+00
3.330e+00 7.353e-01 1.202e+04 1.822e+00
4.097e+00 2.815e+00 1.309e+04 2.521e+00
2.442e+00 3.143e+00 1.333e+04 5.709e-01
1.634e+00 1.276e+00 1.388e+04 2.630e+00
